,idx,user_index,label,kind,idy,sim,topic_start
504000,0,594,C,recommendation,0,0,R
504001,0,594,C,recommendation,0,0,R
504002,0,594,C,recommendation,0,0,R
504003,0,594,C,recommendation,0,0,R
504004,0,594,C,recommendation,0,0,R
504005,0,594,CR,recommendation,0,0,R
504006,0,594,CR,recommendation,0,0,R
504007,0,594,C,recommendation,0,0,R
504008,0,594,CR,recommendation,0,0,R
504009,0,594,C,recommendation,0,0,R
504010,0,594,C,recommendation,0,0,R
504011,0,594,C,recommendation,0,0,R
504012,0,594,C,recommendation,0,0,R
504013,0,594,C,recommendation,0,0,R
504014,0,594,CL,recommendation,0,0,R
504015,0,594,CL,recommendation,0,0,R
504016,0,594,CR,recommendation,0,0,R
504017,0,594,CR,recommendation,0,0,R
504018,0,594,R,recommendation,0,0,R
504019,0,594,CR,recommendation,0,0,R
504020,0,594,CR,choice,0,0,R
504021,1,594,CR,recommendation,0,0,R
504022,1,594,CR,recommendation,0,0,R
504023,1,594,CR,recommendation,0,0,R
504024,1,594,CR,recommendation,0,0,R
504025,1,594,CR,recommendation,0,0,R
504026,1,594,CR,recommendation,0,0,R
504027,1,594,CR,recommendation,0,0,R
504028,1,594,R,recommendation,0,0,R
504029,1,594,CR,recommendation,0,0,R
504030,1,594,CR,recommendation,0,0,R
504031,1,594,CR,recommendation,0,0,R
504032,1,594,CR,recommendation,0,0,R
504033,1,594,CR,recommendation,0,0,R
504034,1,594,CR,recommendation,0,0,R
504035,1,594,CR,recommendation,0,0,R
504036,1,594,CR,recommendation,0,0,R
504037,1,594,CR,recommendation,0,0,R
504038,1,594,CR,recommendation,0,0,R
504039,1,594,CR,recommendation,0,0,R
504040,1,594,CR,recommendation,0,0,R
504041,1,594,CR,choice,0,0,R
504042,2,594,CR,recommendation,0,0,R
504043,2,594,CR,recommendation,0,0,R
504044,2,594,CR,recommendation,0,0,R
504045,2,594,CR,recommendation,0,0,R
504046,2,594,CR,recommendation,0,0,R
504047,2,594,CR,recommendation,0,0,R
504048,2,594,CR,recommendation,0,0,R
504049,2,594,R,recommendation,0,0,R
504050,2,594,CR,recommendation,0,0,R
504051,2,594,CR,recommendation,0,0,R
504052,2,594,CR,recommendation,0,0,R
504053,2,594,CR,recommendation,0,0,R
504054,2,594,CR,recommendation,0,0,R
504055,2,594,CR,recommendation,0,0,R
504056,2,594,CR,recommendation,0,0,R
504057,2,594,CR,recommendation,0,0,R
504058,2,594,CR,recommendation,0,0,R
504059,2,594,CR,recommendation,0,0,R
504060,2,594,CR,recommendation,0,0,R
504061,2,594,CR,recommendation,0,0,R
504062,2,594,CR,choice,0,0,R
504063,3,594,CR,recommendation,0,0,R
504064,3,594,CR,recommendation,0,0,R
504065,3,594,CR,recommendation,0,0,R
504066,3,594,CR,recommendation,0,0,R
504067,3,594,CR,recommendation,0,0,R
504068,3,594,CR,recommendation,0,0,R
504069,3,594,R,recommendation,0,0,R
504070,3,594,CR,recommendation,0,0,R
