,idx,user_index,label,kind,idy,sim,topic_start
252000,0,287,C,recommendation,0,0,C
252001,0,287,C,recommendation,0,0,C
252002,0,287,C,recommendation,0,0,C
252003,0,287,C,recommendation,0,0,C
252004,0,287,C,recommendation,0,0,C
252005,0,287,C,recommendation,0,0,C
252006,0,287,C,recommendation,0,0,C
252007,0,287,C,recommendation,0,0,C
252008,0,287,C,recommendation,0,0,C
252009,0,287,C,recommendation,0,0,C
252010,0,287,C,recommendation,0,0,C
252011,0,287,C,recommendation,0,0,C
252012,0,287,C,recommendation,0,0,C
252013,0,287,C,recommendation,0,0,C
252014,0,287,C,recommendation,0,0,C
252015,0,287,C,recommendation,0,0,C
252016,0,287,C,recommendation,0,0,C
252017,0,287,C,recommendation,0,0,C
252018,0,287,C,recommendation,0,0,C
252019,0,287,C,recommendation,0,0,C
252020,0,287,C,choice,0,0,C
252021,1,287,C,recommendation,0,0,C
252022,1,287,C,recommendation,0,0,C
252023,1,287,C,recommendation,0,0,C
252024,1,287,C,recommendation,0,0,C
252025,1,287,C,recommendation,0,0,C
252026,1,287,C,recommendation,0,0,C
252027,1,287,C,recommendation,0,0,C
252028,1,287,C,recommendation,0,0,C
252029,1,287,C,recommendation,0,0,C
252030,1,287,C,recommendation,0,0,C
252031,1,287,C,recommendation,0,0,C
252032,1,287,C,recommendation,0,0,C
252033,1,287,C,recommendation,0,0,C
252034,1,287,C,recommendation,0,0,C
252035,1,287,C,recommendation,0,0,C
252036,1,287,C,recommendation,0,0,C
252037,1,287,C,recommendation,0,0,C
252038,1,287,C,recommendation,0,0,C
252039,1,287,C,recommendation,0,0,C
252040,1,287,C,recommendation,0,0,C
252041,1,287,C,choice,0,0,C
252042,2,287,C,recommendation,0,0,C
252043,2,287,C,recommendation,0,0,C
252044,2,287,C,recommendation,0,0,C
252045,2,287,C,recommendation,0,0,C
252046,2,287,C,recommendation,0,0,C
252047,2,287,C,recommendation,0,0,C
252048,2,287,C,recommendation,0,0,C
252049,2,287,C,recommendation,0,0,C
252050,2,287,C,recommendation,0,0,C
252051,2,287,C,recommendation,0,0,C
252052,2,287,C,recommendation,0,0,C
252053,2,287,C,recommendation,0,0,C
252054,2,287,C,recommendation,0,0,C
252055,2,287,C,recommendation,0,0,C
252056,2,287,C,recommendation,0,0,C
252057,2,287,C,recommendation,0,0,C
252058,2,287,C,recommendation,0,0,C
252059,2,287,C,recommendation,0,0,C
252060,2,287,C,recommendation,0,0,C
252061,2,287,C,recommendation,0,0,C
252062,2,287,C,choice,0,0,C
252063,3,287,C,recommendation,0,0,C
252064,3,287,C,recommendation,0,0,C
252065,3,287,C,recommendation,0,0,C
252066,3,287,C,recommendation,0,0,C
252067,3,287,C,recommendation,0,0,C
252068,3,287,C,recommendation,0,0,C
252069,3,287,C,recommendation,0,0,C
252070,3,287,C,recommendation,0,0,C
252071,3,287,C,recommendation,0,0,C
252072,3,287,C,recommendation,0,0,C
252073,3,287,C,recommendation,0,0,C
252074,3,287,C,recommendation,0,0,C
252075,3,287,C,recommendation,0,0,C
252076,3,287,C,recommendation,0,0,C
252077,3,287,C,recommendation,0,0,C
252078,3,287,C,recommendation,0,0,C
252079,3,287,C,recommendation,0,0,C
252080,3,287,C,recommendation,0,0,C
252081,3,287,C,recommendation,0,0,C
252082,3,287,C,recommendation,0,0,C
